molecule,smiles,qed,sas,logp,tpsa,validity,unique,novelty
<rdkit.Chem.rdchem.Mol object at 0x148ff09d87c0>,Cc1cn2[nH]c(C(C)(C)C)c(-c3cccnc3)c2n1,0.7236644970874221,2.930587405062978,3.3303200000000013,45.980000000000004,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff09a8ca0>,CCN(CC)CCCN(C)c1ccc2c3c(c(C#N)ccc13)N2CCC(=O)N=c1c(Cl)c[nH]c2cc(Cl)ccc12,0.22955501127756636,3.4298649458835753,6.636780000000007,78.72999999999999,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff09ce460>,C=CCN1C(=O)CC(c2ccc(O)c(F)c2)C1c1ccc(O)cc1,0.8453214606477677,3.3309474230392864,3.480100000000002,60.77000000000001,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0a14700>,CCC(C)C(N)CN(C(=O)OCc1ccccc1)c1cc(C)ncn1,0.8347061741734133,3.237294731722548,3.3016200000000016,81.34,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0a10580>,Cc1oc(C(=O)N(C)Cc2cccc(O)c2)cc1Cn1cccn1,0.7828145509980546,2.455763573220789,2.810620000000001,71.5,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff09d4e20>,C=CCN=c1[nH]c(C)cn2c(CCNC(=O)C=Cc3ccc(F)cc3)nnc12,0.48521885589258557,3.170372544662663,1.9637199999999997,87.44000000000001,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0a74b80>,COc1ccc(N2CCN(CCCCNC(=O)C(C)Oc3ccccc3)CC2)cc1,0.6088235280563561,2.371466758829964,3.1811000000000007,54.040000000000006,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0a5eac0>,COc1ccc(OC(=O)COc2ccc(C)cc2)c(NC(=O)c2ccco2)c1,0.49433210151187174,2.022102352354972,3.8333200000000023,87.00000000000001,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0a01a60>,CCCCC(Cc1ccc(-c2ccc3scc(C)c3c2)cc1)NC(=O)CNC(=O)CN1CCN(C)CC1,0.39196236515568866,2.9852696817219293,4.457820000000004,64.68,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0a5a940>,CC(=O)N(C)c1cccc(NC(=O)Nc2ccc(-c3nc4c(cc3C(=O)O)C(C)(C)OC4)cc2F)c1,0.4620940440434009,2.9378340325402252,4.9779000000000035,120.86000000000001,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0a43880>,CN1CC=C(c2cc(C(=O)NCc3ccccc3N)no2)CC1,0.8424764769510282,2.5473747380088003,1.9057,84.39,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0a88c40>,CN1CCCN(C(=O)c2cccc(-c3ccncc3)c2)CC1,0.8540066587935444,1.8801954725713728,2.526300000000001,36.44,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0afcca0>,Cc1cc(Cl)nc2c1C1(CCN(C(=O)NC(C)C)C1)Cc1ccccc1-2,0.7603130347560381,3.622527096002062,4.328020000000004,45.230000000000004,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0ae8fa0>,CC1(C)Cc2c(cnn2-c2cccc(F)n2)C(NC(=O)C(C)(C)C)C1,0.847234151049374,3.306302044652562,3.582200000000002,59.81,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0adafa0>,Cc1cc2ccccc2n1CC(=O)NC1CCCN(Cc2ccccc2)C1,0.7517921553790335,2.4522204641108374,3.730520000000003,37.27,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0a4e820>,Cc1ccccc1Nc1c(N=Cc2c(O)[nH]c(=O)[nH]c2=O)c(=O)c1=O,0.3933891045661415,3.014514112430822,0.1674199999999999,144.48,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0ad3040>,CC(=Cc1ccc(Oc2ccc(F)cc2)cc1)C(=O)NC1OC(CO)C(O)C(O)C1O,0.42901149355271345,3.6887798535074783,0.9374,128.48000000000002,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0b34700>,CCc1[nH]c(=N)sc1-c1nc2ccc(F)cc2n1CC(C)(C)O,0.6856092083086962,3.2475046081386694,3.044770000000001,77.69,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0b2da60>,Cc1ccc2c(c1)N(O)c1ccc(Cl)cc1S2(=O)=O,0.8098021709913878,2.7023095944120907,3.321920000000002,57.61,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0b0dbe0>,Cc1ccc(SCC(=O)NN=C2CCCC(C)C2)c(C)c1,0.6724974897757467,2.8271404332028958,4.077840000000004,41.46,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0b73160>,CCNC(=O)N(CC)CC#Cc1ccc2c(c1)OCO2,0.8553603803346985,2.574668831828685,1.8182000000000003,50.80000000000001,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0b3b340>,CCC(=C(c1ccc(O)cc1)c1ccc(OCCN2CCCCC2)c(OC)c1)c1ccc(O)cc1,0.35517315410456063,2.3955771244801127,6.340200000000007,62.16000000000001,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0b6b400>,CCN(CC)CCN1C(=O)C(Cl)=C(C(=O)C=Cc2cccc([N+](=O)[O-])c2)C1=O,0.20540818459477347,2.72343163373149,2.3806000000000003,100.83000000000001,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0b91fa0>,CCc1cc(C(=O)NCc2cccs2)cc(C)c1[N+](=O)[O-],0.678895572092012,2.313736723880444,3.4571200000000024,72.24,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0b93160>,COc1ccc(COC(=O)C[n+]2ccccc2)cc1,0.6053684881679678,2.0957977547133293,1.7261,39.410000000000004,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0b91040>,COc1ccc2cc(C(c3c(C)[nH]n(-c4ccccc4)c3=N)c3c(C)[nH]n(-c4cccc(C)c4C)c3=O)ccc2c1,0.22878169105145585,3.4679283296630485,6.339550000000005,91.59,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0b8c2e0>,COc1ccc(C2=NNC(=O)CC2)cc1OC,0.857564273250837,2.1678896587636327,1.3178999999999998,59.92,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0bedb20>,COc1cccc(C=c2[nH]c(=O)c(=Cc3c(O)[nH]c4ccccc34)[nH]c2=O)c1,0.42659849131640776,2.8673858138934314,0.9162999999999994,110.97,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0be0760>,CC(=O)Nc1ccc(C(=O)Nc2scc(-c3nc4ccccc4s3)c2C(N)=O)cc1,0.4317808325919454,2.2903147567200914,4.334400000000002,114.18,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0bd5760>,CC(C)(C)COC(=O)c1ccc(NC(=O)c2cn(Cc3ccccc3)nn2)cc1,0.6453303084539085,2.136367548162875,3.7816000000000027,86.11,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0bbf880>,C(=Cc1nc(-c2ccccc2)c[nH]1)c1ccccc1,0.7350489667975147,2.256741251216825,4.247100000000002,28.68,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0c63820>,COc1ccc(-c2nn(Cc3ccc(O)cc3O)cc2C=CC(=O)O)cc1OC,0.525811782636751,2.4329008189571226,3.124600000000001,114.04000000000002,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0c5fd60>,COc1cc(CC(=O)O)ccc1C(=O)Nc1ccc(Cl)cc1,0.8868449232256929,1.6641331932523329,3.2280000000000006,75.63,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0bcb100>,Cc1cc([N+](=O)[O-])c(S(=O)(=O)N(C)c2ccccc2Cl)cc1F,0.6182407818935381,2.3539556620028375,3.5208200000000023,80.52,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0c56dc0>,CC(O)CN(c1cc(OCc2cccc(C(F)(F)F)c2)ncn1)c1ncc(Cl)cn1,0.5944167899316776,3.331213367393813,4.036700000000002,84.26,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0c4e280>,CCCCCn1c(=O)c(=NCCc2c[nH]c3ccccc23)[nH]c2cncnc21,0.48586179523947304,2.953869270741462,2.9345000000000008,91.72,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0c49340>,COc1c(C)c(O)c(C(C)=O)c(C)c1CSC(=N)c1ccccn1,0.488542644963841,3.0046879519190117,3.874010000000003,83.27,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0c496a0>,CC(C)Oc1ccc(N2CCOCC2)c(NS(=O)(=O)c2ccc3c(c2)NC(=O)CN3C)c1,0.6831814266292121,2.600284819319013,2.4995000000000003,100.21,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0caf100>,C=CCSc1nc(=N)c2c([nH]1)Sc1ccc(OC)cc1N2,0.2975371656584319,3.403361312739861,3.3840700000000004,73.79,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0c40e20>,COc1ccc(-c2nc(N3CCN(C(=O)Nc4ccccc4)CC3)c3c4c(sc3n2)CCCC4)cc1,0.3958253740720962,2.3664079077216478,5.599800000000005,70.59,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0ca3940>,CSC(=CS(=O)(=O)CCC(C)=CCCC(C)CCOC(C)=O)C(=O)NC1CC1,0.2722670132565836,3.798360461735866,3.5901000000000023,89.54,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0c99fa0>,CCCCn1c(SCC(=O)N2CCCc3ccccc32)nc2scc(-c3ccc(OC)cc3)c2c1=O,0.21086693841005505,2.475381961534307,6.0052000000000065,64.43,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0c96940>,COC(=O)C1=COC2OC3(CCCC3C)OC12,0.647119231768227,4.974280043379018,1.3312999999999997,53.99000000000001,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0cf2100>,C=CCC1(OC)CCN(C(=O)c2ccc(F)c(F)c2)CC1,0.7985715160231925,2.565951577991852,3.1621000000000015,29.54,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0ce17c0>,Cc1ccc(C(=O)Nc2c(C)n(C)n(-c3ccccc3)c2=O)cc1,0.8059168818648162,1.8629404962977105,3.0451400000000017,56.03,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0cd3fa0>,CC(C)(C)CN1CCC2CC1CN2S(=O)(=O)c1nc2ccc(Cl)cc2o1,0.793893115363259,4.406907579456572,3.364600000000002,66.65,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0cf91c0>,CCc1ncnc(C)c1C(=O)N1Cc2cc(C(=O)N(C)C)ccc2NC(C(=O)O)C1,0.7844635901096421,3.26539380159376,1.57032,115.73,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0cc1fa0>,COCCn1c(C)c(CC(=O)NS(=O)(=O)c2cn(C)cn2)c2ccccc21,0.6575532915488016,2.6277185772226357,1.37722,95.22000000000001,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0d15760>,CCc1ccc(NC(=O)C2COc3ccccc3O2)cc1,0.9415484235644882,2.278341142801718,3.0275000000000016,47.56,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0d2ddc0>,CC(C)(C)OC(=O)N1CCC(C(=O)N2CCN(C(c3ccccc3)c3ccccc3)CC2)CC1,0.6667367107967878,2.1908278806862995,4.567300000000004,53.09,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0da7820>,Cc1cnc(N2CCN(C(=O)c3cc(Br)c(Br)[nH]3)CC2)nc1,0.7978230735656844,2.6153422157475514,2.6005200000000004,65.12,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0d6d2e0>,CC(=O)Nc1cnn(CC#N)c1,0.6857628043184779,2.498650652316929,0.3650799999999999,70.71000000000001,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0da20a0>,CNC(=O)C(Cc1ccccc1)NC(=O)C(C=O)NC(=O)C1SCCN1C(=O)C(N)Cc1ccc(O)cc1,0.18398666288442633,3.9671256390734166,-0.679299999999996,170.93,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0dca160>,Cc1cc(CC2(C(=O)O)CC2)nc(-c2ncccc2F)n1,0.934022960241808,2.7212194825011355,2.3934200000000008,75.97,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0de8ac0>,CC(C)CCNC1C(O)C(O)C(OCC(=O)Nc2cccc3[nH]c(O)cc23)OC1(C)C,0.37126745579272097,4.168696560284849,1.6896,136.07,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0e231c0>,C=CCN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,0.817291700924923,5.404427151658609,1.7542999999999997,52.93000000000001,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0e0fe20>,CC(C)(C)c1cc(C=O)c(O)c(C(C)(C)C)c1,0.7503506020475977,2.3947277625203416,3.7997000000000023,37.3,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0dc7a00>,COc1ccc(C=[N+]([O-])C(=O)CC(=O)C=Cc2ccc(O)c(OC)c2)cc1,0.20107666345793881,2.7821382695303303,2.5378000000000007,98.9,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0e02d60>,COc1ccc(C(=O)C(=O)C(OC(C)=O)C(O)N(CC(C)C)CC(C)C)cc1,0.2668254475716435,3.4423968495343793,2.3110999999999997,93.14000000000001,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0e73f40>,CCn1c(SCc2csc(C)n2)nnc1-c1no[nH]c1=N,0.6931185233509813,3.2964205435090914,1.81779,109.27,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0e02460>,Cn1c2ccccc2c2n[nH]c(=NC(=O)c3cccc(C(F)(F)F)c3)nc21,0.5582539806533485,2.848440334307657,3.209500000000001,75.93,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0e701c0>,COc1ccc(C2C(c3ccccc3)C(C#N)C(=N)N(c3cc(OC)cc(OC)c3)C2C)cc1,0.5229849168338064,3.830354463811351,5.6055500000000045,78.57000000000001,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0e6db80>,COc1ccc(N2CCn3c2nc2c3c(=O)n(CCc3cccc(F)c3)c(=O)n2C)cc1,0.48150399431646734,2.4497666451854556,2.4388000000000005,74.28999999999999,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0e65940>,CN(C)C1CCc2c(sc3[nH]cnc(=Nc4ccc(F)c(Cl)c4)c23)C1,0.7323271744905496,3.718359940898818,4.068200000000003,44.28,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0eb4b80>,Cc1cc(C)cc(NC(=O)CSc2nc(=O)cc(C)[nH]2)c1,0.6717282383788519,2.2012725328990115,2.42596,74.85,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0e5d3a0>,COc1ccc(C2C(C(=O)N=c3cc(C)o[nH]3)C(c3ccccc3)CC(=O)N2c2ccc(N(C)C)cc2)cc1,0.38353776359414965,4.026561581045743,4.9962200000000045,91.13999999999999,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0ea5340>,CC12CCC3C(CC4CC(O)CCC43C)C1=CCC2=O,0.6865611458824219,4.430036158488102,3.4891000000000023,37.3,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0eafac0>,CCC(C)(C)NC(=O)C1CCCN1S(=O)(=O)c1ccc2c(c1)oc(=O)n2C,0.8283455034708265,3.0041413615245034,1.5893999999999997,101.62,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0eec940>,COc1ccc(-c2coc3c(OCc4ccccc4)c(OC)ccc3c2=O)cc1,0.462261298325978,2.081302833609138,5.056200000000004,57.9,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0e86460>,CN(c1ccc([N+](=O)[O-])cc1)S(=O)(=O)c1ccc(C(=O)NCc2ccc(Cl)cc2)cc1,0.42381314981248935,2.023175975516528,4.003300000000003,109.62,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0ec35e0>,Cc1cccc(-n2c(O)cc(Sc3nc[nH]n3)c2O)c1,0.6888858370549451,3.3133635686707894,2.46622,86.96,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0f252e0>,CCN(CC)c1ccc(C=NNC(=O)C(=O)Nc2ccccc2)cc1,0.4829807931155319,2.029157845060716,2.621600000000001,73.8,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0f1cfa0>,Cn1nnnc1SCC(=O)N1CCN(C(=O)N2CCc3ccccc3C2)CC1,0.7011847797507335,2.4038998523549697,0.6246999999999994,87.46,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0f13a60>,COc1cccc(C(=O)NN=Cc2c(F)cccc2Br)c1,0.6784368859294347,2.079399552635559,3.3607000000000022,50.69,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0f0c7c0>,CCCN(CCO)c1cc(C=C(C)C(=O)O)c(C(=O)O)s1,0.6361070622693931,3.1617427962563456,2.1429,98.07000000000001,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0ec7580>,CC(Oc1cc(-c2ccc3c(c2)[nH]c(=N)n2nc(OC4CC(O)C(O)C4O)nc32)cn(C)c1=O)C(F)(F)F,0.24709989617815162,4.821153526589621,0.6191699999999994,170.98000000000002,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0f7a220>,Cn1c(C=CCN2CCCC2)nc2cc(NC(=O)c3ccccc3C(F)(F)F)ccc21,0.6254646706261805,2.504303878427571,4.953400000000005,50.160000000000004,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0f78ca0>,CCc1nc2ccc(Cl)cc2n1CCOC,0.8191285009736656,2.0110746291944857,2.898500000000001,27.05,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0f548e0>,COCC(C(=O)NC(COS(N)(=O)=O)C(C)C)(c1ccccc1)c1ccccc1,0.6110662554892157,3.2166876078252002,1.9800000000000006,107.72,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0f48e20>,CNCCC1(c2cccc(C(F)(F)F)c2)CCC2(CC1)OCCOO2,0.8303804300425234,3.5757250546582977,3.8014000000000028,39.72,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0fa59a0>,COc1ccc(CNC(=O)c2cnn3c(-c4nccs4)cc(C)nc23)cc1,0.5762089887080758,2.411262648228554,3.099820000000001,81.41,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0f88c40>,CCN(CC)CCN=C(N)N=c1[nH]c(C)c(-c2ccc(F)cc2)s1,0.6217845071352165,3.1348089233930043,2.7479200000000006,69.77,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0f85e80>,CCc1ccccc1NC(=O)N=c1ccc(N)c[nH]1,0.7699219032999676,2.888984840960415,2.2920999999999996,83.27000000000001,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0ff6e80>,Cc1ccc(NC(=O)C2C3CCC(CC3)C2C(=O)O)c(C)c1,0.8991194409605643,3.5400485468013576,3.378940000000002,66.4,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0ff6340>,Cc1ccccc1CCn1nc(N2CCN(C)CC2)ccc1=O,0.858784616398064,2.1300873254213855,1.5462200000000001,41.370000000000005,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0f525e0>,Cc1ccc2cc(S(=O)(=O)NC(CNC(=O)OCc3ccccc3)C(O)CNC3CC(n4c(=O)[nH]c5ccccc54)C3)ccc2n1,0.13814705633436422,3.6770237493875744,3.1137200000000016,167.44,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0ff47c0>,CCC(=O)NN(Cc1ccc([N+](=O)[O-])cc1)C(=O)CCSc1ccccc1,0.42476546526330805,2.430231832283365,3.5470000000000024,92.55000000000001,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0fd31c0>,CC1(C)COC(c2cc[nH]c(=N)n2)=C(c2ccc(C#N)cc2)C1,0.8936977705337068,3.3823511339205785,3.0756500000000013,85.55000000000001,0.96,0.999,0.988
<rdkit.Chem.rdchem.Mol object at 0x148ff0fce0a0>,CCC(C)C(N)c1nc(-c2cc(F)cc(F)c2)cs1,0.9152050505155027,3.207526597988428,4.1342000000000025,38.91,0.96,0.999,0.988
